model,split,rows,rmse_log,mae_log,r2
mean_baseline,train,2840,1.3873375724779742,1.0922145894679827,0.0
mean_baseline,test,1388,1.4226948798104708,1.1055234835453183,-0.0016638298900297777
linear_regression,train,2840,0.9517739562638977,0.7013368621666055,0.529344284103864
linear_regression,test,1388,0.9989638246219967,0.7207541262226799,0.5061466802104563
ridge_alpha_1,train,2840,0.9518553589870247,0.7012659580863871,0.5292637727701224
ridge_alpha_1,test,1388,0.999133066735464,0.7209049223592905,0.5059793310881882
ridge_alpha_10,train,2840,0.9544297629513367,0.7030627504666853,0.5267140071706511
ridge_alpha_10,test,1388,1.0018718907073394,0.7234778027836454,0.5032671996080751
