scope,position_group,model,split,rows,rmse_log,mae_log,r2,rmse_eur,mae_eur
global,ALL,mean_baseline,train,3818,1.4136471332013802,1.119341394915119,0.0,18131437.976396363,9803285.42477492
global,ALL,mean_baseline,test,1840,1.4319519643355625,1.1333254145805736,-0.0027454280946623832,21474722.957995597,11046357.16851298
global,ALL,linear_regression,train,3818,0.9809154216932267,0.7283813671680665,0.5185168520317887,16024732.02730662,6833420.293073726
global,ALL,linear_regression,test,1840,0.9925155024046667,0.7340598714027059,0.5182647909622496,16967897.393324766,7668460.564511181
global,ALL,ridge_alpha_1,train,3818,0.980977782785279,0.7283725676517658,0.5184556300983082,15978910.733316403,6834953.4403743725
global,ALL,ridge_alpha_1,test,1840,0.9925154959307941,0.7341135043118915,0.51826479724667,16920261.692842685,7665130.212032646
global,ALL,hist_gradient_boosting,train,3818,0.4419060545365389,0.3337752954303671,0.9022812573818074,7100267.788153646,3537035.514627256
global,ALL,hist_gradient_boosting,test,1840,0.8877243383025385,0.6662771349349067,0.6146192255031324,13332965.451279815,6871178.162430473
position_specific,DF,mean_baseline,train,1085,1.4477195455480005,1.1382656756904752,0.0,14551041.100962736,8151013.997980267
position_specific,DF,mean_baseline,test,529,1.4313578536072629,1.1576891311060256,-0.015288845384407779,15821636.21308055,9276864.331171367
position_specific,DF,linear_regression,train,1085,1.0300500719195391,0.7735594940660175,0.49377009401618843,10553397.459562395,5765595.616439239
position_specific,DF,linear_regression,test,529,1.031109957709695,0.7704718307323439,0.47313041768890984,11680614.419157963,6527717.2685423475
position_specific,DF,ridge_alpha_1,train,1085,1.031635333598207,0.7737379217520807,0.49221070495894326,10588137.605124416,5786472.036881077
position_specific,DF,ridge_alpha_1,test,529,1.027854267330925,0.7671991706938368,0.4764523062649303,11664518.426675264,6496404.260750511
position_specific,DF,hist_gradient_boosting,train,1085,0.21792973668075688,0.14099355312146566,0.9773397804892039,2777485.8094997415,1212763.202386919
position_specific,DF,hist_gradient_boosting,test,529,1.02181299575951,0.7498873362493458,0.4825885823015422,11046652.263904786,6338351.108107484
position_specific,MF,mean_baseline,train,1639,1.369761283782339,1.0809411367072663,0.0,16566960.706165861,9111294.896749828
position_specific,MF,mean_baseline,test,804,1.417515515133784,1.103480037555989,-0.0009399521179460635,20380601.935313713,10312962.476468615
position_specific,MF,linear_regression,train,1639,0.9289450302003905,0.7001974481312576,0.5400715679928837,11831094.615936294,6294104.640045736
position_specific,MF,linear_regression,test,804,1.0017045662589286,0.7368187980427668,0.5001592158910297,13909195.489704954,6996075.877510843
position_specific,MF,ridge_alpha_1,train,1639,0.9294676400138774,0.7007223176640266,0.539553925470455,11777765.697903767,6287588.188303618
position_specific,MF,ridge_alpha_1,test,804,0.9999449520247079,0.7353408729253429,0.5019137341209686,13895523.415957727,6981802.515294222
position_specific,MF,hist_gradient_boosting,train,1639,0.244556902653591,0.18196421501532242,0.9681235405981921,4048408.839155744,1982289.3376171095
position_specific,MF,hist_gradient_boosting,test,804,0.9360120732365035,0.7040713410811961,0.5635693095097416,13238264.589187939,6805028.6564831175
position_specific,FW,mean_baseline,train,1094,1.4055060532651802,1.112933641216658,0.0,22606207.33400149,12214406.811405366
position_specific,FW,mean_baseline,test,507,1.4400388552826502,1.1490365961533595,-0.0005125555070149002,27158845.461684678,13996184.84910265
position_specific,FW,linear_regression,train,1094,0.9401956888523397,0.6772602613558669,0.5525226369461311,19684065.56202197,8107792.229644251
position_specific,FW,linear_regression,test,507,0.9347784440517907,0.6864970759358693,0.5784088358759045,20623828.69934758,9252821.779127775
position_specific,FW,ridge_alpha_1,train,1094,0.940377479299105,0.677623091267848,0.5523495772839788,19802833.03155567,8126548.5456390325
position_specific,FW,ridge_alpha_1,test,507,0.9350128059642236,0.6866611065088698,0.5781974118791315,20739043.996106967,9267816.360353677
position_specific,FW,hist_gradient_boosting,train,1094,0.20896749993397193,0.12153481441860316,0.9778949219321516,4681617.747331709,1726939.9668345996
position_specific,FW,hist_gradient_boosting,test,507,0.8695211111443528,0.6652020231577311,0.6352171739536343,16058991.046361484,8330176.15329764
