row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,latest_transfer_id_before_valuation,latest_transfer_date_before_valuation,latest_transfer_type_before_valuation,contract_until_date,contract_days_remaining,contract_years_remaining,contract_expiring_within_1y,contract_expiring_within_2y,contract_missing,days_since_last_transfer,last_transfer_market_value_eur,last_transfer_fee_eur,last_transfer_fee_text,last_transfer_was_loan,last_transfer_was_free,transfer_count_before_valuation,loan_count_before_valuation
66106_22/23_Real_Betis_es_La_Liga_2490,66106,22/23,Real Betis,es La Liga,2023-06-30,2100190,2018-07-03,STANDARD,2026-06-30,1096,3.0007,0,0,0,1823,5000000,,Free Transfer,0,1,8,2
550106_22/23_Lazio_it_Serie_A_2491,550106,22/23,Lazio,it Serie A,2023-06-30,3912889,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,5000000,,,1,0,7,4
182712_22/23_Bayern_Munich_de_Bundesliga_2492,182712,22/23,Bayern Munich,de Bundesliga,2023-06-30,4251751,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,0,50000000,,,1,0,14,6
182712_22/23_Manchester_City_eng_Premier_League_2493,182712,22/23,Manchester City,eng Premier League,2023-06-30,4251751,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,0,50000000,,,1,0,14,6
25488_22/23_Salernitana_it_Serie_A_2494,25488,22/23,Salernitana,it Serie A,2023-06-30,4010271,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,1500000,,,1,0,22,16
251845_22/23_Brentford_eng_Premier_League_2495,251845,22/23,Brentford,eng Premier League,2023-06-30,4252648,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,9000000,,,1,0,9,4
214532_22/23_Angers_fr_Ligue_1_2496,214532,22/23,Angers,fr Ligue 1,2023-06-30,1265169,2015-07-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,2921,400000,,Free Transfer,0,1,7,0
63494_22/23_Villarreal_es_La_Liga_2497,63494,22/23,Villarreal,es La Liga,2023-06-30,3185549,2021-01-04,STANDARD,2024-06-30,366,1.0021,0,1,0,907,4000000,2000000,2.00,0,0,5,0
146752_22/23_Monza_it_Serie_A_2498,146752,22/23,Monza,it Serie A,2023-06-30,3960886,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,,,,,,1,0,8000000,,,1,0,20,12
84765_22/23_Sampdoria_it_Serie_A_2499,84765,22/23,Sampdoria,it Serie A,2023-06-30,4196779,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,1500000,,,1,0,17,10
84765_22/23_Empoli_it_Serie_A_2500,84765,22/23,Empoli,it Serie A,2023-06-30,4196779,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,0,1500000,,,1,0,17,10
395237_22/23_Lyon_fr_Ligue_1_2501,395237,22/23,Lyon,fr Ligue 1,2023-06-30,2385863,2018-12-14,STANDARD,2027-06-30,1461,4.0,0,0,0,1659,,,-,0,0,2,0
481834_22/23_Monza_it_Serie_A_2502,481834,22/23,Monza,it Serie A,2023-06-30,4252933,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2029-06-30,2192,6.0014,0,0,0,0,4000000,,,1,0,6,2
787618_22/23_Inter_it_Serie_A_2503,787618,22/23,Inter,it Serie A,2023-06-30,4022530,2022-07-01,STANDARD,2028-06-30,1827,5.0021,0,0,0,364,,,-,0,0,5,0
342226_22/23_Augsburg_de_Bundesliga_2504,342226,22/23,Augsburg,de Bundesliga,2023-06-30,4229597,2023-01-18,STANDARD,2027-06-30,1461,4.0,0,0,0,163,2500000,500000,500.00,0,0,8,2
342226_22/23_Brest_fr_Ligue_1_2505,342226,22/23,Brest,fr Ligue 1,2023-06-30,4229597,2023-01-18,STANDARD,2027-06-30,1461,4.0,0,0,0,163,2500000,500000,500.00,0,0,8,2
329145_22/23_Aston_Villa_eng_Premier_League_2506,329145,22/23,Aston Villa,eng Premier League,2023-06-30,3862353,2022-07-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,364,40000000,31000000,31.00,0,0,10,2
140776_22/23_Atlético_Madrid_es_La_Liga_2507,140776,22/23,Atlético Madrid,es La Liga,2023-06-30,3051383,2020-09-08,STANDARD,2024-06-30,366,1.0021,0,1,0,1025,22500000,27000000,27.00,0,0,10,2
138927_22/23_Real_Madrid_es_La_Liga_2508,138927,22/23,Real Madrid,es La Liga,2023-06-30,878484,2013-07-01,STANDARD,2026-06-30,1096,3.0007,0,0,0,3651,10000000,6500000,6.50,0,0,5,0
559263_22/23_Liverpool_eng_Premier_League_2509,559263,22/23,Liverpool,eng Premier League,2023-06-30,3858852,2022-07-01,STANDARD,2027-06-30,1461,4.0,0,0,0,364,12000000,9400000,9.40,0,0,6,0
100131_22/23_Real_Betis_es_La_Liga_2510,100131,22/23,Real Betis,es La Liga,2023-06-30,2175026,2018-07-13,STANDARD,2026-06-30,1096,3.0007,0,0,0,1813,25000000,18500000,18.50,0,0,8,4
389837_22/23_Lazio_it_Serie_A_2511,389837,22/23,Lazio,it Serie A,2023-06-30,3929301,2022-07-08,STANDARD,2027-06-30,1461,4.0,0,0,0,357,7500000,8000000,8.00,0,0,13,10
16306_22/23_Manchester_Utd_eng_Premier_League_2512,16306,22/23,Manchester Utd,eng Premier League,2023-06-30,4025542,2022-08-22,STANDARD,2026-06-30,1096,3.0007,0,0,0,312,40000000,70650000,70.65,0,0,9,4
16306_22/23_Real_Madrid_es_La_Liga_2513,16306,22/23,Real Madrid,es La Liga,2023-06-30,4025542,2022-08-22,STANDARD,2026-06-30,1096,3.0007,0,0,0,312,40000000,70650000,70.65,0,0,9,4
425334_22/23_Aston_Villa_eng_Premier_League_2514,425334,22/23,Aston Villa,eng Premier League,2023-06-30,3042733,2020-09-03,STANDARD,2029-06-30,2192,6.0014,0,0,0,1030,4800000,15750000,15.75,0,0,4,2
262226_22/23_Leicester_City_eng_Premier_League_2515,262226,22/23,Leicester City,eng Premier League,2023-06-30,3043675,2020-09-03,STANDARD,2025-06-30,731,2.0014,0,0,0,1030,18000000,20900000,20.90,0,0,6,0
195335_22/23_Cremonese_it_Serie_A_2516,195335,22/23,Cremonese,it Serie A,2023-06-30,2157513,2018-07-02,STANDARD,2026-06-30,1096,3.0007,0,0,0,1824,1000000,1000000,1.00,0,0,11,4
182875_22/23_Nantes_fr_Ligue_1_2517,182875,22/23,Nantes,fr Ligue 1,2023-06-30,2893452,2020-07-01,STANDARD,2028-06-30,1827,5.0021,0,0,0,1094,2400000,,Free Transfer,0,1,11,4
195171_22/23_Valencia_es_La_Liga_2518,195171,22/23,Valencia,es La Liga,2023-06-30,3937974,2022-07-12,STANDARD,2025-06-30,731,2.0014,0,0,0,353,4000000,,Free Transfer,0,1,5,0
303116_22/23_Fiorentina_it_Serie_A_2519,303116,22/23,Fiorentina,it Serie A,2023-06-30,1830696,2019-06-30,RETURNED_FROM_PREVIOUS_LOAN,2024-06-30,366,1.0021,0,1,0,1461,1800000,,,1,0,8,4
199733_22/23_Lazio_it_Serie_A_2520,199733,22/23,Lazio,it Serie A,2023-06-30,1844282,2018-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,1826,4000000,,,1,0,8,6
782476_22/23_Lorient_fr_Ligue_1_2521,782476,22/23,Lorient,fr Ligue 1,2023-06-30,4058430,2022-09-05,STANDARD,2027-06-30,1461,4.0,0,0,0,298,400000,2700000,2.70,0,0,3,0
369267_22/23_Clermont_Foot_fr_Ligue_1_2522,369267,22/23,Clermont Foot,fr Ligue 1,2023-06-30,4043744,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,731,2.0014,0,0,0,0,2500000,,,1,0,6,2
48280_22/23_Valencia_es_La_Liga_2523,48280,22/23,Valencia,es La Liga,2023-06-30,3859249,2022-08-29,STANDARD,2024-06-30,366,1.0021,0,1,0,305,4000000,,Free Transfer,0,1,8,2
319745_22/23_Real_Madrid_es_La_Liga_2524,319745,22/23,Real Madrid,es La Liga,2023-06-30,3045563,2021-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,730,27000000,,,1,0,6,2
239099_22/23_Lecce_it_Serie_A_2525,239099,22/23,Lecce,it Serie A,2023-06-30,4252823,2023-06-30,RETURNED_FROM_PREVIOUS_LOAN,2027-06-30,1461,4.0,0,0,0,0,1600000,,,1,0,13,8
163639_22/23_Hellas_Verona_it_Serie_A_2526,163639,22/23,Hellas Verona,it Serie A,2023-06-30,3343379,2021-07-01,STANDARD,,,,,,1,729,3500000,3000000,3.00,0,0,8,4
388382_22/23_Lecce_it_Serie_A_2527,388382,22/23,Lecce,it Serie A,2023-06-30,3887460,2022-07-01,STANDARD,2024-06-30,366,1.0021,0,1,0,364,2700000,,Free Transfer,0,1,9,4
251075_22/23_Roma_it_Serie_A_2528,251075,22/23,Roma,it Serie A,2023-06-30,3921602,2022-07-05,STANDARD,2026-06-30,1096,3.0007,0,0,0,360,18000000,7400000,7.40,0,0,10,2
423443_22/23_Almería_es_La_Liga_2529,423443,22/23,Almería,es La Liga,2023-06-30,3085298,2020-10-02,STANDARD,2026-06-30,1096,3.0007,0,0,0,1001,5000000,,Free Transfer,0,1,6,2
384859_22/23_Nantes_fr_Ligue_1_2530,384859,22/23,Nantes,fr Ligue 1,2023-06-30,4083878,2022-09-22,STANDARD,2027-06-30,1461,4.0,0,0,0,281,7000000,4000000,4.00,0,0,5,0
341110_22/23_Celta_Vigo_es_La_Liga_2531,341110,22/23,Celta Vigo,es La Liga,2023-06-30,3423248,2021-07-05,STANDARD,2026-06-30,1096,3.0007,0,0,0,725,5000000,5000000,5.00,0,0,4,0
418662_22/23_Ajaccio_fr_Ligue_1_2532,418662,22/23,Ajaccio,fr Ligue 1,2023-06-30,3191194,2021-01-05,STANDARD,2023-06-30,0,0.0,1,1,0,906,300000,,Free Transfer,0,1,5,0
