Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Olasagasti,es ESP,MF,Real Sociedad,es La Liga,21,2000,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22/23,2,1,50.0,2.77,1.38,0.0,0.0,0,1,4,0,0,0,3,,,0,unmatched_name,
Finn Ole Becker,de GER,MF,Hoffenheim,de Bundesliga,22,2000,13,6,513,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22/23,6,2,33.3,1.05,0.35,0.0,0.0,0,4,5,1,3,5,2,,,0,unmatched_name,
Lucas Oliveira Rosa,br BRA,"DF,MF",Valladolid,es La Liga,22,2000,17,11,931,10.3,0,1,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,22/23,6,1,16.7,0.58,0.1,0.0,0.0,0,19,11,1,37,15,18,,,0,unmatched_name,
Isaac Palazón Camacho,es ESP,MF,Rayo Vallecano,es La Liga,27,1994,37,36,2965,32.9,9,5,14,8,1,3,4,0,0.27,0.15,0.42,0.24,0.39,22/23,94,24,25.5,2.85,0.73,0.09,0.33,0,37,104,9,191,19,30,,,0,unmatched_name,
Emerson Palmieri,it ITA,"MF,DF",West Ham United,eng Premier League,27,1994,22,16,1320,14.7,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,22/23,11,5,45.5,0.75,0.34,0.09,0.2,0,12,15,0,47,14,14,,,0,unmatched_name,
Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,26,1996,31,16,1358,15.1,4,4,8,4,0,2,3,0,0.27,0.27,0.53,0.27,0.53,22/23,34,7,20.6,2.25,0.46,0.12,0.57,0,38,13,9,2,4,7,,,0,unmatched_name,
Timothee Pembele,fr FRA,"MF,DF",Paris Saint-Germain,fr Ligue 1,19,2002,5,4,263,2.9,0,1,1,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34,22/23,3,1,33.3,1.03,0.34,0.0,0.0,0,0,1,0,4,4,5,,,0,unmatched_name,
Francisco Perez,es ESP,MF,Valencia,es La Liga,19,2002,7,0,141,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22/23,1,0,0.0,0.64,0.0,0.0,,0,4,3,3,8,0,1,,,0,unmatched_name,
Alejandro Pozo Pozo,es ESP,"DF,MF",Almería,es La Liga,23,1999,30,20,1880,20.9,0,3,3,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,22/23,10,2,20.0,0.48,0.1,0.0,0.0,0,15,14,1,70,24,18,,,0,unmatched_name,
Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,28,1993,29,17,1633,18.1,1,1,2,1,0,0,3,1,0.06,0.06,0.11,0.06,0.11,22/23,28,7,25.0,1.54,0.39,0.04,0.14,0,16,19,1,28,24,13,,,0,unmatched_name,
