Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Anis Ben Slimane,tn TUN,MF,Sheffield United,eng Premier League,22,2001,15,4,419,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,8,3,37.5,1.72,0.64,0.0,0.0,0,7,6,2,1,5,6,,,1,unmatched_name,
Carlos Benavídez,uy URU,MF,Alavés,es La Liga,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,23/24,14,7,50.0,1.11,0.55,0.21,0.43,0,37,9,1,6,18,35,,,0,unmatched_name,
Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,2002,32,26,2307,25.6,0,3,3,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,23/24,6,2,33.3,0.23,0.08,0.0,0.0,0,30,7,1,36,12,33,,,0,unmatched_name,
Jan-Niklas Beste,de GER,MF,Heidenheim,de Bundesliga,24,1999,31,31,2603,28.9,8,11,19,8,0,1,4,0,0.28,0.38,0.66,0.28,0.66,23/24,49,19,38.8,1.69,0.66,0.16,0.42,0,28,51,4,279,17,50,,,0,unmatched_name,
Gleison Bremer,br BRA,DF,Juventus,it Serie A,26,1997,36,36,3233,35.9,3,0,3,3,0,0,9,0,0.08,0.0,0.08,0.08,0.08,23/24,18,4,22.2,0.5,0.11,0.17,0.75,0,60,17,2,1,36,44,,,0,unmatched_name,
Ben Brereton,cl CHI,"FW,MF",Sheffield United,eng Premier League,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,0.49,0.08,0.57,0.41,0.49,23/24,35,19,54.3,2.85,1.55,0.14,0.26,0,11,19,10,9,3,4,,,0,unmatched_name,
Ben Brereton,cl CHI,"MF,FW",Villarreal,es La Liga,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,5,1,20.0,1.67,0.33,0.0,0.0,0,5,4,2,4,0,2,,,0,unmatched_name,
Anthony Caci,fr FRA,"MF,DF",Mainz 05,de Bundesliga,26,1997,31,29,2486,27.6,2,3,5,2,0,0,8,0,0.07,0.11,0.18,0.07,0.18,23/24,31,6,19.4,1.12,0.22,0.06,0.33,0,34,15,0,74,28,23,,,0,unmatched_name,
Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,10,3,30.0,0.34,0.1,0.0,0.0,0,16,44,6,67,23,32,,,0,unmatched_name,
Igor Carioca,br BRA,"MF,DF",Lorient,fr Ligue 1,26,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,1,0,0.0,0.34,0.0,0.0,,0,7,4,0,9,3,6,,,0,unmatched_name,
Carmona,es ESP,"MF,DF",Getafe,es La Liga,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,23/24,12,3,25.0,0.82,0.21,0.08,0.33,0,33,23,3,29,22,21,,,0,unmatched_name,
Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,1998,35,16,1682,18.7,4,3,7,4,0,0,2,0,0.21,0.16,0.37,0.21,0.37,23/24,54,20,37.0,2.89,1.07,0.07,0.2,0,33,31,20,16,3,11,,,0,unmatched_name,
Jonny Castro,es ESP,"DF,MF",Wolves,eng Premier League,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,0,0,,0.0,0.0,,,0,0,0,0,0,0,0,,,0,unmatched_name,
Catena,es ESP,DF,Osasuna,es La Liga,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,0.04,0.11,0.14,0.04,0.14,23/24,18,5,27.8,0.64,0.18,0.06,0.2,0,47,14,1,0,16,20,,,0,unmatched_name,
Emil Ceide,no NOR,FW,Sassuolo,it Serie A,21,2001,11,0,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,2,0,0.0,1.02,0.0,0.0,,0,2,1,0,5,0,1,,,0,unmatched_name,
Václav Černý,cz CZE,"MF,FW",Wolfsburg,de Bundesliga,25,1997,22,12,921,10.2,4,1,5,4,0,0,2,0,0.39,0.1,0.49,0.39,0.49,23/24,20,5,25.0,1.95,0.49,0.2,0.8,0,9,0,4,33,7,4,,,0,unmatched_name,
Julian Chabot,de GER,DF,Köln,de Bundesliga,25,1998,32,32,2703,30.0,0,0,0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.0,23/24,19,4,21.1,0.63,0.13,0.0,0.0,1,27,42,4,4,45,41,,,0,unmatched_name,
Copete,es ESP,DF,Mallorca,es La Liga,23,1999,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,23/24,7,1,14.3,0.47,0.07,0.14,1.0,0,36,13,0,9,33,26,,,0,unmatched_name,
Crespo,pt POR,MF,Rayo Vallecano,es La Liga,26,1996,15,4,527,5.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,23/24,3,0,0.0,0.51,0.0,0.0,,0,19,22,0,3,11,7,,,0,unmatched_name,
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31,1992,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05,23/24,3,0,0.0,0.16,0.0,0.0,,0,20,4,1,21,12,15,,,0,unmatched_name,
Tomáš Čvančara,cz CZE,"FW,MF",Gladbach,de Bundesliga,22,2000,21,7,896,10.0,4,1,5,3,1,2,4,0,0.4,0.1,0.5,0.3,0.4,23/24,36,13,36.1,3.62,1.31,0.08,0.23,0,9,13,4,4,2,3,,,0,unmatched_name,
Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,34,1988,24,16,1536,17.1,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,23/24,14,4,28.6,0.82,0.23,0.0,0.0,1,18,13,1,7,15,34,,,0,unmatched_name,
Juan David Cabal,co COL,DF,Hellas Verona,it Serie A,22,2001,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,23/24,12,3,25.0,0.72,0.18,0.0,0.0,0,27,16,1,33,28,29,,,0,unmatched_name,
Florian Dietz,de GER,FW,Köln,de Bundesliga,24,1998,5,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,3,1,33.3,3.86,1.29,0.0,0.0,0,1,0,0,0,0,0,,,0,unmatched_name,
Djené,tg TOG,"DF,MF",Getafe,es La Liga,31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.0,0.0,23/24,6,1,16.7,0.22,0.04,0.0,0.0,1,51,37,1,32,23,20,,,0,unmatched_name,
Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21,2002,26,3,581,6.5,2,0,2,2,0,0,2,0,0.31,0.0,0.31,0.31,0.31,23/24,19,9,47.4,2.94,1.39,0.11,0.22,0,9,7,6,3,1,0,,,0,unmatched_name,
Jáder Durán,co COL,FW,Aston Villa,eng Premier League,19,2003,23,3,475,5.3,5,0,5,5,0,0,5,0,0.95,0.0,0.95,0.95,0.95,23/24,20,7,35.0,3.79,1.33,0.25,0.71,0,12,8,4,6,1,5,,,0,unmatched_name,
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,33,33,2921,32.5,2,0,2,2,0,0,5,1,0.06,0.0,0.06,0.06,0.06,23/24,13,3,23.1,0.4,0.09,0.15,0.67,1,28,23,0,3,44,18,,,1,unmatched_name,
Max Finkgräfe,de GER,DF,Köln,de Bundesliga,19,2004,24,18,1756,19.5,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,23/24,12,4,33.3,0.62,0.21,0.08,0.25,0,19,21,0,61,23,42,,,0,unmatched_name,
Pablo Galdames Millán,cl CHI,MF,Genoa,it Serie A,26,1996,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,1,1,100.0,8.18,8.18,0.0,0.0,0,1,0,0,0,0,0,,,0,unmatched_name,
Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,1989,25,24,1884,20.9,4,0,4,4,0,0,8,0,0.19,0.0,0.19,0.19,0.19,23/24,26,7,26.9,1.24,0.33,0.15,0.57,0,35,31,0,10,28,41,,,0,unmatched_name,
Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,22,2000,16,10,754,8.4,1,2,3,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,23/24,14,4,28.6,1.67,0.48,0.07,0.25,0,10,14,0,9,4,8,,,0,unmatched_name,
Nicolás González,ar ARG,MF,Fiorentina,it Serie A,25,1998,29,21,1913,21.3,12,2,14,11,1,3,1,0,0.56,0.09,0.66,0.52,0.61,23/24,87,35,40.2,4.09,1.65,0.13,0.31,0,21,36,2,40,12,18,,,0,unmatched_name,
Peter González,do DOM,MF,Valencia,es La Liga,21,2002,15,5,649,7.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,17,6,35.3,2.36,0.83,0.0,0.0,0,11,11,1,18,9,4,,,0,unmatched_name,
Álex Grimaldo,es ESP,MF,Leverkusen,de Bundesliga,27,1995,33,31,2784,30.9,10,13,23,10,0,0,1,0,0.32,0.42,0.74,0.32,0.74,23/24,71,23,32.4,2.3,0.74,0.14,0.43,0,14,26,3,202,22,25,,,0,unmatched_name,
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,26,1997,15,12,992,11.0,1,0,1,1,0,0,5,0,0.09,0.0,0.09,0.09,0.09,23/24,4,1,25.0,0.36,0.09,0.25,1.0,0,13,8,1,0,11,13,,,0,unmatched_name,
Hákon Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.14,0.0,0.14,0.14,0.14,23/24,12,6,50.0,0.84,0.42,0.17,0.33,0,14,28,1,7,3,8,,,0,unmatched_name,
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,27,1996,29,25,2119,23.5,12,3,15,11,1,1,6,0,0.51,0.13,0.64,0.47,0.59,23/24,45,18,40.0,1.91,0.76,0.24,0.61,0,31,32,15,11,9,10,,,0,unmatched_name,
Theo Hernández,fr FRA,DF,Milan,it Serie A,25,1997,32,31,2791,31.0,5,4,9,4,1,2,11,1,0.16,0.13,0.29,0.13,0.26,23/24,57,17,29.8,1.84,0.55,0.07,0.24,0,38,50,2,71,21,17,,,0,unmatched_name,
Son Heung-min,kr KOR,"FW,MF",Tottenham Hotspur,eng Premier League,31,1992,35,34,2934,32.6,17,10,27,15,2,2,1,0,0.52,0.31,0.83,0.46,0.77,23/24,85,40,47.1,2.61,1.23,0.18,0.38,0,12,39,20,36,8,13,,,1,unmatched_name,
Pierre Højbjerg,dk DEN,MF,Tottenham Hotspur,eng Premier League,27,1995,36,8,1311,14.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,23/24,19,6,31.6,1.3,0.41,0.0,0.0,0,20,17,0,14,16,16,,,1,unmatched_name,
Iglesias,es ESP,"DF,MF",Getafe,es La Liga,25,1998,23,16,1412,15.7,0,2,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,23/24,15,6,40.0,0.96,0.38,0.0,0.0,0,17,10,1,62,16,21,,,0,unmatched_name,
Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,it Serie A,21,2001,25,11,1061,11.8,1,1,2,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,23/24,22,8,36.4,1.87,0.68,0.05,0.13,0,35,20,9,2,1,1,,,0,unmatched_name,
Imanol,es ESP,DF,Athletic Club,es La Liga,23,2000,9,5,525,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,1,0,0.0,0.17,0.0,0.0,,0,5,2,0,21,9,6,,,0,unmatched_name,
Lee Jae-sung,kr KOR,MF,Mainz 05,de Bundesliga,30,1992,29,24,2113,23.5,6,3,9,6,0,0,6,0,0.26,0.13,0.38,0.26,0.38,23/24,38,13,34.2,1.62,0.55,0.16,0.46,0,19,27,9,18,27,20,,,0,unmatched_name,
Luis Javier Suárez,co COL,"FW,MF",Almería,es La Liga,25,1997,15,10,917,10.2,6,0,6,5,1,1,3,0,0.59,0.0,0.59,0.49,0.49,23/24,40,14,35.0,3.93,1.37,0.13,0.36,0,18,17,5,7,0,5,,,0,unmatched_name,
Kaio Jorge,br BRA,FW,Frosinone,it Serie A,21,2002,20,8,812,9.0,3,0,3,2,1,2,2,0,0.33,0.0,0.33,0.22,0.22,23/24,27,13,48.1,2.99,1.44,0.07,0.15,0,8,10,2,3,2,4,,,0,unmatched_name,
Mads Juel Andersen,dk DEN,DF,Luton Town,eng Premier League,25,1997,8,4,400,4.4,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,23/24,3,1,33.3,0.68,0.23,0.33,1.0,0,6,2,0,0,8,5,,,0,unmatched_name,
Eli Junior Kroupi,fr FRA,FW,Lorient,fr Ligue 1,17,2006,30,11,1084,12.0,5,3,8,5,0,0,1,0,0.42,0.25,0.66,0.42,0.66,23/24,22,12,54.5,1.83,1.0,0.23,0.42,0,17,8,8,14,10,5,,,0,unmatched_name,
Hamed Junior Traorè,ci CIV,MF,Bournemouth,eng Premier League,23,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,3,2,66.7,5.74,3.83,0.0,0.0,0,0,0,0,3,0,0,,,0,unmatched_name,
Hamed Junior Traorè,ci CIV,MF,Napoli,it Serie A,23,2000,9,5,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,10,3,30.0,2.36,0.71,0.0,0.0,0,4,7,1,7,1,2,,,0,unmatched_name,
Lee Kang-in,kr KOR,"MF,FW",Paris Saint-Germain,fr Ligue 1,22,2001,23,18,1464,16.3,3,4,7,3,0,0,2,0,0.18,0.25,0.43,0.18,0.43,23/24,23,9,39.1,1.41,0.55,0.13,0.33,0,17,21,1,97,5,12,,,0,unmatched_name,
Jesper Karlsson,se SWE,MF,Bologna,it Serie A,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,6,4,66.7,1.57,1.05,0.0,0.0,0,4,1,1,25,3,3,,,0,unmatched_name,
Silas Katompa,cd COD,MF,Stuttgart,de Bundesliga,24,1998,27,8,900,10.0,5,2,7,5,0,1,0,0,0.5,0.2,0.7,0.5,0.7,23/24,24,9,37.5,2.4,0.9,0.21,0.56,0,13,15,5,28,0,3,,,0,unmatched_name,
Kiké,es ESP,FW,Alavés,es La Liga,33,1989,33,15,1423,15.8,3,2,5,3,0,1,3,0,0.19,0.13,0.32,0.19,0.32,23/24,57,26,45.6,3.61,1.64,0.05,0.12,0,24,36,7,9,2,5,,,0,unmatched_name,
Max Kilman,eng ENG,DF,Wolves,eng Premier League,26,1997,38,38,3420,38.0,2,0,2,2,0,0,7,0,0.05,0.0,0.05,0.05,0.05,23/24,14,6,42.9,0.37,0.16,0.14,0.33,0,38,18,2,6,38,19,,,0,unmatched_name,
Simon Kjær,dk DEN,DF,Milan,it Serie A,34,1989,20,14,1171,13.0,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,23/24,6,0,0.0,0.46,0.0,0.0,,0,9,2,0,1,13,15,,,0,unmatched_name,
Cheick Konaté,ml MLI,"MF,DF",Clermont Foot,fr Ligue 1,19,2004,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,23/24,14,4,28.6,1.18,0.34,0.07,0.25,0,17,14,0,45,13,16,,,0,unmatched_name,
Boubakar Kouyaté,ml MLI,DF,Montpellier,fr Ligue 1,26,1997,23,22,1928,21.4,0,2,2,0,0,0,5,1,0.0,0.09,0.09,0.0,0.09,23/24,13,2,15.4,0.61,0.09,0.0,0.0,0,36,21,1,1,28,33,,,0,unmatched_name,
Viktor Kovalenko,ua UKR,MF,Empoli,it Serie A,27,1996,17,4,613,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,23/24,11,4,36.4,1.62,0.59,0.09,0.25,0,7,10,2,13,2,2,,,0,unmatched_name,
Rade Krunić,ba BIH,MF,Milan,it Serie A,29,1993,10,8,687,7.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,23/24,2,0,0.0,0.26,0.0,0.0,,0,10,11,0,4,11,8,,,0,unmatched_name,
Giorgos Kyriakopoulos,gr GRE,"MF,DF",Monza,it Serie A,27,1996,28,20,1712,19.0,0,3,3,0,0,0,3,0,0.0,0.16,0.16,0.0,0.16,23/24,24,2,8.3,1.26,0.11,0.0,0.0,0,15,14,2,84,12,10,,,0,unmatched_name,
Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25,1998,22,16,1389,15.4,5,1,6,3,2,2,4,0,0.32,0.06,0.39,0.19,0.26,23/24,47,19,40.4,3.05,1.23,0.06,0.16,0,14,12,7,8,2,6,,,0,unmatched_name,
Manuel Lazzari,it ITA,"DF,MF",Lazio,it Serie A,29,1993,24,19,1671,18.6,0,2,2,0,0,0,4,1,0.0,0.11,0.11,0.0,0.11,23/24,8,2,25.0,0.43,0.11,0.0,0.0,0,15,20,1,56,12,19,,,0,unmatched_name,
Valentino Livramento,eng ENG,DF,Newcastle United,eng Premier League,20,2002,26,12,1314,14.6,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,23/24,4,2,50.0,0.27,0.14,0.25,0.5,0,3,28,1,26,24,14,,,0,unmatched_name,
Anthony Lozano,hn HON,FW,Getafe,es La Liga,30,1993,6,0,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,4,0,0.0,3.91,0.0,0.0,,0,6,1,1,1,0,0,,,0,unmatched_name,
Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,13,10,772,8.6,3,0,3,3,0,0,1,0,0.35,0.0,0.35,0.35,0.35,23/24,23,9,39.1,2.68,1.05,0.13,0.33,0,22,20,5,4,3,5,,,0,unmatched_name,
José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,24,22,1791,19.9,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,23/24,10,1,10.0,0.5,0.05,0.1,1.0,0,24,12,1,82,11,39,,,0,unmatched_name,
Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,22,10,904,10.0,2,1,3,2,0,0,2,0,0.2,0.1,0.3,0.2,0.3,23/24,15,4,26.7,1.49,0.4,0.13,0.5,0,12,0,2,58,5,6,,,0,unmatched_name,
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,37,37,3265,36.3,4,0,4,4,0,0,4,0,0.11,0.0,0.11,0.11,0.11,23/24,34,15,44.1,0.94,0.41,0.12,0.27,0,19,13,1,6,44,42,,,0,unmatched_name,
Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,23/24,14,3,21.4,0.55,0.12,0.07,0.33,0,44,15,0,3,25,27,,,1,unmatched_name,
Kostas Manolas,gr GRE,DF,Salernitana,it Serie A,32,1991,8,6,488,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,2,0,0.0,0.37,0.0,0.0,,0,5,3,0,1,2,6,,,0,unmatched_name,
Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23,2000,18,6,731,8.1,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,23/24,15,4,26.7,1.85,0.49,0.07,0.25,0,10,14,0,1,4,7,,,0,unmatched_name,
Adam Marušić,me MNE,"DF,MF",Lazio,it Serie A,30,1992,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.03,0.0,0.03,0.03,0.03,23/24,8,3,37.5,0.23,0.09,0.13,0.33,0,24,10,4,44,28,32,,,0,unmatched_name,
Marvin,es ESP,"MF,DF",Las Palmas,es La Liga,23,2000,31,17,1855,20.6,0,2,2,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,23/24,14,3,21.4,0.68,0.15,0.0,0.0,0,39,26,4,91,15,25,,,0,unmatched_name,
Erhan Mašović,rs SRB,"DF,MF",Bochum,de Bundesliga,24,1998,29,24,2219,24.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,23/24,17,3,17.6,0.69,0.12,0.0,0.0,0,22,16,0,5,21,42,,,1,unmatched_name,
Luca Mazzitelli,it ITA,MF,Frosinone,it Serie A,27,1995,29,26,2210,24.6,5,0,5,5,0,0,6,1,0.2,0.0,0.2,0.2,0.2,23/24,49,18,36.7,2.0,0.73,0.1,0.28,1,45,36,1,43,20,26,,,0,unmatched_name,
Mamadou Mbaye,sn SEN,DF,Cádiz,es La Liga,25,1998,4,2,288,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,2,1,50.0,0.62,0.31,0.0,0.0,0,6,0,0,0,5,3,,,0,unmatched_name,
Hianga'a Mbock,fr FRA,MF,Brest,fr Ligue 1,23,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,1,0,0.0,10.0,0.0,0.0,,0,0,0,0,0,1,0,,,0,unmatched_name,
Oliver McBurnie,sct SCO,FW,Sheffield United,eng Premier League,27,1996,21,15,1280,14.2,6,3,9,4,2,2,7,2,0.42,0.21,0.63,0.28,0.49,23/24,33,17,51.5,2.32,1.2,0.12,0.24,2,19,27,4,5,5,6,,,0,unmatched_name,
Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,20,2003,5,1,133,1.5,1,0,1,1,0,0,1,0,0.68,0.0,0.68,0.68,0.68,23/24,1,1,100.0,0.68,0.68,1.0,1.0,0,5,6,1,1,0,3,,,0,unmatched_name,
Hannibal Mejbri,tn TUN,MF,Sevilla,es La Liga,20,2003,6,1,104,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,1,0,0.0,0.87,0.0,0.0,,0,4,4,0,2,0,3,,,0,unmatched_name,
Memphis,nl NED,FW,Atlético Madrid,es La Liga,29,1994,23,9,893,9.9,5,1,6,5,0,0,2,0,0.5,0.1,0.6,0.5,0.6,23/24,38,15,39.5,3.83,1.51,0.13,0.33,0,14,16,8,12,1,2,,,0,unmatched_name,
Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,26,1996,25,22,1970,21.9,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,23/24,10,3,30.0,0.46,0.14,0.1,0.33,0,19,2,1,2,42,23,,,0,unmatched_name,
Obite N'Dicka,ci CIV,DF,Roma,it Serie A,23,1999,25,25,2168,24.1,0,3,3,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12,23/24,9,1,11.1,0.37,0.04,0.0,0.0,0,26,16,0,11,15,18,,,0,unmatched_name,
Kévin N'Doram,fr FRA,MF,Metz,fr Ligue 1,27,1996,23,18,1604,17.8,0,2,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,23/24,7,1,14.3,0.39,0.06,0.0,0.0,0,29,21,0,2,27,23,,,0,unmatched_name,
Michel Ndary Adopo,fr FRA,MF,Atalanta,it Serie A,23,2000,10,0,109,1.2,0,1,1,0,0,0,0,0,0.0,0.83,0.83,0.0,0.83,23/24,1,1,100.0,0.83,0.83,0.0,0.0,0,2,1,1,1,0,3,,,0,unmatched_name,
M'Baye Niang,sn SEN,FW,Empoli,it Serie A,28,1994,14,5,708,7.9,6,1,7,2,4,4,1,0,0.76,0.13,0.89,0.25,0.38,23/24,24,9,37.5,3.05,1.14,0.08,0.22,0,15,24,9,4,3,2,,,0,unmatched_name,
Tijjani Noslin,nl NED,"FW,MF",Hellas Verona,it Serie A,24,1999,17,17,1339,14.9,5,4,9,5,0,0,2,0,0.34,0.27,0.6,0.34,0.6,23/24,36,15,41.7,2.42,1.01,0.14,0.33,0,24,10,4,15,2,7,,,0,unmatched_name,
Simeon Nwankwo,ng NGA,FW,Salernitana,it Serie A,31,1992,15,6,686,7.6,3,0,3,3,0,0,0,0,0.39,0.0,0.39,0.39,0.39,23/24,13,7,53.8,1.71,0.92,0.23,0.43,0,11,17,2,0,0,3,,,0,unmatched_name,
Gerzino Nyamsi,cm CMR,DF,Strasbourg,fr Ligue 1,26,1997,13,13,1092,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,7,3,42.9,0.58,0.25,0.0,0.0,0,13,0,0,1,10,15,,,0,unmatched_name,
M'Bala Nzola,ao ANG,FW,Fiorentina,it Serie A,26,1996,33,15,1552,17.2,3,3,6,2,1,1,2,0,0.17,0.17,0.35,0.12,0.29,23/24,32,13,40.6,1.86,0.75,0.06,0.15,0,37,7,21,6,0,8,,,0,unmatched_name,
Jake O'Brien,ie IRL,DF,Lyon,fr Ligue 1,22,2001,27,27,2369,26.3,4,2,6,4,0,0,4,1,0.15,0.08,0.23,0.15,0.23,23/24,18,8,44.4,0.68,0.3,0.22,0.5,0,17,10,0,1,11,16,,,0,unmatched_name,
Dara O'Shea,ie IRL,DF,Burnley,eng Premier League,24,1999,33,32,2892,32.1,3,4,7,3,0,0,5,1,0.09,0.12,0.22,0.09,0.22,23/24,19,5,26.3,0.59,0.16,0.16,0.6,0,36,15,1,11,33,18,,,1,unmatched_name,
Adam Obert,sk SVK,DF,Cagliari,it Serie A,20,2002,17,10,941,10.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,3,3,100.0,0.29,0.29,0.0,0.0,0,14,4,0,15,20,9,,,0,unmatched_name,
Olasagasti,es ESP,MF,Real Sociedad,es La Liga,22,2000,14,2,360,4.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,23/24,9,0,0.0,2.25,0.0,0.0,,0,7,7,1,1,3,12,,,0,unmatched_name,
Finn Ole Becker,de GER,MF,Hoffenheim,de Bundesliga,23,2000,22,5,606,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,6,1,16.7,0.89,0.15,0.0,0.0,0,6,7,0,7,1,7,,,0,unmatched_name,
Samu Omorodion,es ESP,FW,Alavés,es La Liga,19,2004,34,21,1918,21.3,8,1,9,8,0,0,6,0,0.38,0.05,0.42,0.38,0.42,23/24,64,25,39.1,3.0,1.17,0.13,0.32,0,30,30,16,2,1,3,,,0,unmatched_name,
Samu Omorodion,es ESP,FW,Granada,es La Liga,19,2004,1,1,80,0.9,1,0,1,1,0,0,0,0,1.13,0.0,1.13,1.13,1.13,23/24,3,2,66.7,3.38,2.25,0.33,0.5,0,1,3,0,0,0,1,,,0,unmatched_name,
Aiham Ousou,sy SYR,DF,Cádiz,es La Liga,23,2000,6,5,430,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,2,0,0.0,0.42,0.0,0.0,,0,4,6,0,0,6,6,,,0,unmatched_name,
