Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Juanmi,es ESP,FW,Cádiz,es La Liga,30,1993,16,9,873,9.7,3,1,4,3,0,0,3,0,0.31,0.1,0.41,0.31,0.41,23/24,14,7,50.0,1.44,0.72,0.21,0.43,0,24,11,13,2,5,4,,,0,ambiguous_name,7484;126737
Juanpe,es ESP,DF,Girona,es La Liga,32,1991,17,6,746,8.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,23/24,4,0,0.0,0.48,0.0,0.0,,0,5,0,1,1,8,8,,,0,ambiguous_name,115333;455066
Koke,es ESP,MF,Atlético Madrid,es La Liga,31,1992,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.0,0.14,0.14,0.0,0.14,23/24,10,2,20.0,0.36,0.07,0.0,0.0,0,19,19,0,10,15,42,,,0,ambiguous_name,16132;74229
Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,21,2002,26,23,2096,23.3,0,1,1,0,0,0,4,1,0.0,0.04,0.04,0.0,0.04,23/24,10,3,30.0,0.43,0.13,0.0,0.0,1,26,7,1,1,29,23,,,0,ambiguous_name,23492;698259
Lázaro,br BRA,MF,Almería,es La Liga,21,2002,14,2,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,8,4,50.0,2.53,1.26,0.0,0.0,0,3,7,2,11,1,1,,,0,ambiguous_name,96073;574772
Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,29,27,2170,24.1,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,23/24,9,4,44.4,0.37,0.17,0.11,0.25,0,26,23,0,6,22,19,,,0,ambiguous_name,246291;710131
David López,es ESP,DF,Girona,es La Liga,33,1989,25,25,1965,21.8,3,0,3,3,0,0,4,0,0.14,0.0,0.14,0.14,0.14,23/24,16,6,37.5,0.73,0.27,0.19,0.5,0,17,15,1,0,19,21,,,0,ambiguous_name,25462;129444;640985;711963;947431
Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,2002,36,30,2656,29.5,3,6,9,3,0,0,2,0,0.1,0.2,0.3,0.1,0.3,23/24,41,15,36.6,1.39,0.51,0.07,0.2,0,26,31,8,66,21,26,,,0,ambiguous_name,20740;34370;89445;617081;713634
Javi López,es ESP,DF,Alavés,es La Liga,21,2002,32,25,2386,26.5,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,23/24,18,3,16.7,0.68,0.11,0.06,0.33,0,26,28,1,102,11,12,,,0,ambiguous_name,72310;129653;568158;697631;705401
Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,28,15,1539,17.1,1,0,1,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06,23/24,11,4,36.4,0.64,0.23,0.09,0.25,0,12,6,2,72,14,29,,,0,ambiguous_name,54308;74548;103623;190314;537866;800222
Marcão,br BRA,DF,Sevilla,es La Liga,27,1996,7,3,355,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23/24,0,0,,0.0,0.0,,,0,5,6,0,0,3,6,,,0,ambiguous_name,26255;58149;89561;101473;159976;160188;346072;439022;476102;764266;996242
José Mari,es ESP,MF,Cádiz,es La Liga,35,1987,3,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,0,0,,0.0,0.0,,,0,1,1,0,0,0,1,,,0,ambiguous_name,6194;51624;225462
Mariano,do DOM,FW,Sevilla,es La Liga,29,1993,9,2,244,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,14,2,14.3,5.16,0.74,0.0,0.0,0,8,1,3,1,0,1,,,0,ambiguous_name,54155;71497
Marquinhos,br BRA,DF,Paris Saint-Germain,fr Ligue 1,29,1994,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,23/24,4,0,0.0,0.23,0.0,0.0,,0,3,3,2,0,17,11,,,0,ambiguous_name,97;54132;74567;82972;181767;516722;582301;668268;705180;871802
Marquinhos,br BRA,MF,Nantes,fr Ligue 1,20,2003,7,1,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,5,1,20.0,2.92,0.58,0.0,0.0,0,7,6,1,5,5,2,,,0,ambiguous_name,97;54132;74567;82972;181767;516722;582301;668268;705180;871802
Iván Martín,es ESP,MF,Girona,es La Liga,24,1999,36,33,2729,30.3,5,4,9,5,0,0,5,0,0.16,0.13,0.3,0.16,0.3,23/24,19,11,57.9,0.63,0.36,0.26,0.45,0,27,34,4,10,23,25,,,0,ambiguous_name,339752;341278
Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,22,2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,0.27,0.18,0.45,0.27,0.45,23/24,58,22,37.9,2.59,0.98,0.1,0.27,0,23,24,10,109,4,23,,,0,ambiguous_name,655488;1050805
Pasquale Mazzocchi,it ITA,"MF,DF",Salernitana,it Serie A,28,1995,18,16,1272,14.1,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,23/24,8,1,12.5,0.57,0.07,0.0,0.0,0,23,9,3,44,4,18,,,0,ambiguous_name,250153;1248542
Pasquale Mazzocchi,it ITA,"DF,MF",Napoli,it Serie A,28,1995,10,4,428,4.8,0,1,1,0,0,0,0,1,0.0,0.21,0.21,0.0,0.21,23/24,5,1,20.0,1.05,0.21,0.0,0.0,0,9,7,0,14,1,3,,,0,ambiguous_name,250153;1248542
Nuno Mendes,pt POR,DF,Paris Saint-Germain,fr Ligue 1,21,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.34,0.34,0.67,0.34,0.67,23/24,4,1,25.0,1.35,0.34,0.25,1.0,0,6,1,0,7,4,5,,,0,ambiguous_name,14345;616341
Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,22,2001,18,13,1256,14.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,23/24,7,2,28.6,0.5,0.14,0.0,0.0,0,17,11,0,13,20,19,,,1,ambiguous_name,127191;649023
Miguel,es ESP,FW,Alavés,es La Liga,23,1999,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23/24,2,1,50.0,2.77,1.38,0.0,0.0,0,2,3,0,0,0,0,,,0,ambiguous_name,13225;984063
Alberto Moreno,es ESP,DF,Villarreal,es La Liga,31,1992,27,17,1484,16.5,2,2,4,2,0,0,5,2,0.12,0.12,0.24,0.12,0.24,23/24,17,5,29.4,1.03,0.3,0.12,0.4,2,24,14,5,50,21,20,,,0,ambiguous_name,207917;568149
Iker Muñoz,es ESP,MF,Osasuna,es La Liga,20,2002,28,20,1854,20.6,4,0,4,4,0,0,5,0,0.19,0.0,0.19,0.19,0.19,23/24,23,6,26.1,1.12,0.29,0.17,0.67,0,37,55,0,13,11,17,,,0,ambiguous_name,710677;803003;916362
Murillo,br BRA,DF,Nottingham Forest,eng Premier League,21,2002,32,32,2789,31.0,0,2,2,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,23/24,17,6,35.3,0.55,0.19,0.0,0.0,0,38,7,0,3,40,33,,,1,ambiguous_name,637993;1005649
Patric,es ESP,DF,Lazio,it Serie A,30,1993,20,19,1608,17.9,2,0,2,2,0,0,4,0,0.11,0.0,0.11,0.11,0.11,23/24,6,2,33.3,0.34,0.11,0.33,1.0,0,8,6,0,11,4,8,,,0,ambiguous_name,95087;126729;174947
Mads Pedersen,dk DEN,"DF,MF",Augsburg,de Bundesliga,26,1996,27,19,1786,19.8,1,1,2,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,23/24,14,1,7.1,0.71,0.05,0.07,1.0,0,34,26,2,54,18,40,,,0,ambiguous_name,148369;288429
Marcus Pedersen,no NOR,DF,Sassuolo,it Serie A,23,2000,28,16,1613,17.9,0,2,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,23/24,3,0,0.0,0.17,0.0,0.0,,0,13,9,0,57,10,24,,,0,ambiguous_name,41609;583404
Pedro,es ESP,FW,Lazio,it Serie A,36,1987,33,5,816,9.1,1,1,2,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22,23/24,11,4,36.4,1.21,0.44,0.09,0.25,0,13,19,4,19,2,12,,,0,ambiguous_name,57840;65278;432895;1004741
Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,27,1996,29,20,1859,20.7,8,3,11,7,1,1,7,0,0.39,0.15,0.53,0.34,0.48,23/24,47,20,42.6,2.28,0.97,0.15,0.35,0,26,35,3,76,20,20,,,0,ambiguous_name,286297;889687
Pedro Pereira,pt POR,"MF,DF",Monza,it Serie A,25,1998,23,9,841,9.3,0,2,2,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21,23/24,3,0,0.0,0.32,0.0,0.0,,0,11,3,1,37,4,13,,,0,ambiguous_name,314965;567522
Aaron Ramsey,eng ENG,MF,Burnley,eng Premier League,20,2003,14,5,527,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,23/24,6,2,33.3,1.02,0.34,0.0,0.0,0,7,3,1,2,1,14,,,0,ambiguous_name,50057;646658
