row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,market_value_eur,market_value_date,market_value_days_from_valuation,log_market_value_eur,market_value_in_window,market_value_stale,market_value_missing
193782_21/22_Leverkusen_de_Bundesliga_41,193782,21/22,Leverkusen,de Bundesliga,2022-06-30,8000000,2022-06-08,22,15.89495222,1,0,0
69751_21/22_Barcelona_es_La_Liga_42,69751,21/22,Barcelona,es La Liga,2022-06-30,9000000,2022-06-02,28,16.01273525,1,0,0
128220_21/22_Lazio_it_Serie_A_43,128220,21/22,Lazio,it Serie A,2022-06-30,28000000,2022-06-06,24,17.1477151,1,0,0
61560_21/22_Leicester_City_eng_Premier_League_44,61560,21/22,Leicester City,eng Premier League,2022-06-30,2500000,2022-06-14,16,14.73180169,1,0,0
126716_21/22_Villarreal_es_La_Liga_45,126716,21/22,Villarreal,es La Liga,2022-06-30,9000000,2022-06-02,28,16.01273525,1,0,0
60444_21/22_Liverpool_eng_Premier_League_46,60444,21/22,Liverpool,eng Premier League,2022-06-30,20000000,2022-06-14,16,16.81124288,1,0,0
247250_21/22_Cádiz_es_La_Liga_47,247250,21/22,Cádiz,es La Liga,2022-06-30,2500000,2022-06-02,28,14.73180169,1,0,0
353032_21/22_Valencia_es_La_Liga_48,353032,21/22,Valencia,es La Liga,2022-06-30,10000000,2022-06-02,28,16.11809575,1,0,0
281755_21/22_Cádiz_es_La_Liga_49,281755,21/22,Cádiz,es La Liga,2022-06-30,1200000,2022-06-02,28,13.99783295,1,0,0
284854_21/22_Getafe_es_La_Liga_50,284854,21/22,Getafe,es La Liga,2022-06-30,9000000,2022-06-02,28,16.01273525,1,0,0
314353_21/22_Liverpool_eng_Premier_League_51,314353,21/22,Liverpool,eng Premier League,2022-06-30,80000000,2022-06-14,16,18.19753721,1,0,0
670847_21/22_Angers_fr_Ligue_1_52,670847,21/22,Angers,fr Ligue 1,2022-06-30,15000000,2022-05-29,32,16.52356083,1,0,0
646733_21/22_Clermont_Foot_fr_Ligue_1_53,646733,21/22,Clermont Foot,fr Ligue 1,2022-06-30,2000000,2022-05-29,32,14.50865824,1,0,0
207929_21/22_Tottenham_Hotspur_eng_Premier_League_54,207929,21/22,Tottenham Hotspur,eng Premier League,2022-06-30,16000000,2022-06-14,16,16.58809934,1,0,0
207929_21/22_Everton_eng_Premier_League_55,207929,21/22,Everton,eng Premier League,2022-06-30,16000000,2022-06-14,16,16.58809934,1,0,0
272999_21/22_Newcastle_United_eng_Premier_League_56,272999,21/22,Newcastle United,eng Premier League,2022-06-30,16000000,2022-06-14,16,16.58809934,1,0,0
112515_21/22_Chelsea_eng_Premier_League_57,112515,21/22,Chelsea,eng Premier League,2022-06-30,12000000,2022-06-14,16,16.30041729,1,0,0
354909_21/22_Cagliari_it_Serie_A_58,354909,21/22,Cagliari,it Serie A,2022-06-30,2000000,2022-06-06,24,14.50865824,1,0,0
255488_21/22_Athletic_Club_es_La_Liga_59,255488,21/22,Athletic Club,es La Liga,2022-06-30,13000000,2022-06-02,28,16.38045999,1,0,0
15951_21/22_Barcelona_es_La_Liga_60,15951,21/22,Barcelona,es La Liga,2022-06-30,1000000,2022-06-02,28,13.81551156,1,0,0
476237_21/22_Brighton_eng_Premier_League_61,476237,21/22,Brighton,eng Premier League,2022-06-30,5000000,2022-06-14,16,15.42494867,1,0,0
205503_21/22_Metz_fr_Ligue_1_62,205503,21/22,Metz,fr Ligue 1,2022-06-30,2000000,2022-05-29,32,14.50865824,1,0,0
214056_21/22_Leicester_City_eng_Premier_League_63,214056,21/22,Leicester City,eng Premier League,2022-06-30,10000000,2022-06-14,16,16.11809575,1,0,0
241229_21/22_Nice_fr_Ligue_1_64,241229,21/22,Nice,fr Ligue 1,2022-06-30,6000000,2022-05-29,32,15.60727019,1,0,0
241229_21/22_Marseille_fr_Ligue_1_65,241229,21/22,Marseille,fr Ligue 1,2022-06-30,6000000,2022-05-29,32,15.60727019,1,0,0
344072_21/22_Spezia_it_Serie_A_66,344072,21/22,Spezia,it Serie A,2022-06-30,3500000,2022-06-06,24,15.06827381,1,0,0
232454_21/22_Genoa_it_Serie_A_67,232454,21/22,Genoa,it Serie A,2022-06-30,8000000,2022-06-06,24,15.89495222,1,0,0
232454_21/22_Leverkusen_de_Bundesliga_68,232454,21/22,Leverkusen,de Bundesliga,2022-06-30,8000000,2022-06-06,24,15.89495222,1,0,0
392771_21/22_Venezia_it_Serie_A_69,392771,21/22,Venezia,it Serie A,2022-06-30,13000000,2022-06-06,24,16.38045999,1,0,0
287579_21/22_Fiorentina_it_Serie_A_70,287579,21/22,Fiorentina,it Serie A,2022-06-30,10000000,2022-06-06,24,16.11809575,1,0,0
260827_21/22_Crystal_Palace_eng_Premier_League_71,260827,21/22,Crystal Palace,eng Premier League,2022-06-30,25000000,2022-06-14,16,17.03438642,1,0,0
159372_21/22_Lazio_it_Serie_A_72,159372,21/22,Lazio,it Serie A,2022-06-30,13000000,2022-06-06,24,16.38045999,1,0,0
147573_21/22_Köln_de_Bundesliga_73,147573,21/22,Köln,de Bundesliga,2022-06-30,2000000,2022-06-08,22,14.50865824,1,0,0
84301_21/22_Lille_fr_Ligue_1_74,84301,21/22,Lille,fr Ligue 1,2022-06-30,12000000,2022-05-29,32,16.30041729,1,0,0
159088_21/22_Leverkusen_de_Bundesliga_75,159088,21/22,Leverkusen,de Bundesliga,2022-06-30,13000000,2022-06-08,22,16.38045999,1,0,0
197560_21/22_Osasuna_es_La_Liga_76,197560,21/22,Osasuna,es La Liga,2022-06-30,25000,2022-06-28,2,10.1266711,1,0,0
277179_21/22_RB_Leipzig_de_Bundesliga_77,277179,21/22,RB Leipzig,de Bundesliga,2022-06-30,30000000,2022-06-08,22,17.21670797,1,0,0
55854_21/22_Torino_it_Serie_A_78,55854,21/22,Torino,it Serie A,2022-06-30,700000,2022-06-06,24,13.45883704,1,0,0
538974_21/22_Spezia_it_Serie_A_79,538974,21/22,Spezia,it Serie A,2022-06-30,4000000,2022-06-06,24,15.20180517,1,0,0
193004_21/22_Stuttgart_de_Bundesliga_80,193004,21/22,Stuttgart,de Bundesliga,2022-06-30,6000000,2022-06-08,22,15.60727019,1,0,0
104124_21/22_West_Ham_United_eng_Premier_League_81,104124,21/22,West Ham United,eng Premier League,2022-06-30,10000000,2022-06-14,16,16.11809575,1,0,0
289182_21/22_Bochum_de_Bundesliga_82,289182,21/22,Bochum,de Bundesliga,2022-06-30,1000000,2022-06-08,22,13.81551156,1,0,0
395693_21/22_Lyon_fr_Ligue_1_83,395693,21/22,Lyon,fr Ligue 1,2022-06-30,25000000,2022-05-29,32,17.03438642,1,0,0
569385_21/22_Saint-Étienne_fr_Ligue_1_84,569385,21/22,Saint-Étienne,fr Ligue 1,2022-06-30,6000000,2022-05-29,32,15.60727019,1,0,0
111038_21/22_Nantes_fr_Ligue_1_85,111038,21/22,Nantes,fr Ligue 1,2022-06-30,2000000,2022-05-29,32,14.50865824,1,0,0
290249_21/22_Getafe_es_La_Liga_86,290249,21/22,Getafe,es La Liga,2022-06-30,15000000,2022-06-02,28,16.52356083,1,0,0
200188_21/22_Venezia_it_Serie_A_87,200188,21/22,Venezia,it Serie A,2022-06-30,4000000,2022-06-06,24,15.20180517,1,0,0
