scope,model,feature,importance,importance_std,abs_importance,importance_type
global,hist_gradient_boosting,Age,0.285068469693317,0.013481979710884025,0.285068469693317,permutation_rmse_drop
global,hist_gradient_boosting,cleaned_comp,0.1608063527361609,0.0070839312937187185,0.1608063527361609,permutation_rmse_drop
global,hist_gradient_boosting,contract_years_remaining,0.07378566689610286,0.004093714556726813,0.07378566689610286,permutation_rmse_drop
global,hist_gradient_boosting,90s,0.05266694210509665,0.005510397985400536,0.05266694210509665,permutation_rmse_drop
global,hist_gradient_boosting,goals_per90,0.045884388200266316,0.0030914934067079116,0.045884388200266316,permutation_rmse_drop
global,hist_gradient_boosting,Min,0.04167455368867211,0.004482968924164965,0.04167455368867211,permutation_rmse_drop
global,hist_gradient_boosting,assists_per90,0.035907982603903765,0.004659691501288406,0.035907982603903765,permutation_rmse_drop
global,hist_gradient_boosting,shots_per90,0.03168989958614862,0.007799233752169052,0.03168989958614862,permutation_rmse_drop
global,hist_gradient_boosting,days_since_last_transfer,0.028242034073523756,0.00850747832874905,0.028242034073523756,permutation_rmse_drop
global,hist_gradient_boosting,crosses_per90,0.02407105678698987,0.005220255556068888,0.02407105678698987,permutation_rmse_drop
global,hist_gradient_boosting,fouls_per90,0.011410158876364401,0.0021605617416054876,0.011410158876364401,permutation_rmse_drop
global,hist_gradient_boosting,loan_count_before_valuation,0.010896933142022391,0.0027178377640073577,0.010896933142022391,permutation_rmse_drop
global,hist_gradient_boosting,transfer_count_before_valuation,0.010331493158252797,0.002662785902758293,0.010331493158252797,permutation_rmse_drop
global,hist_gradient_boosting,tackles_won_per90,0.007631228207178403,0.001453893547986894,0.007631228207178403,permutation_rmse_drop
global,hist_gradient_boosting,position_group,0.005638803057729513,0.0020906460950228054,0.005638803057729513,permutation_rmse_drop
global,hist_gradient_boosting,fouled_per90,0.004583082193127017,0.0033341534079652175,0.004583082193127017,permutation_rmse_drop
global,hist_gradient_boosting,shots_on_target_per90,0.004548726923887622,0.003037587074309121,0.004548726923887622,permutation_rmse_drop
global,hist_gradient_boosting,Starts,0.0027192754550951492,0.0013530515611428207,0.0027192754550951492,permutation_rmse_drop
global,hist_gradient_boosting,interceptions_per90,0.0012736644941531844,0.0013695772081022198,0.0012736644941531844,permutation_rmse_drop
global,hist_gradient_boosting,contract_missing,0.0005889548843563269,0.00023017216934122635,0.0005889548843563269,permutation_rmse_drop
global,hist_gradient_boosting,contract_expired,0.00034132820507085104,0.00035518896078923614,0.00034132820507085104,permutation_rmse_drop
global,hist_gradient_boosting,age_squared,0.0,0.0,0.0,permutation_rmse_drop
global,hist_gradient_boosting,season,0.0,0.0,0.0,permutation_rmse_drop
