scope,position_group,cleaned_comp,model,split,rows,rmse_log,mae_log,r2,rmse_eur,mae_eur
position_specific,FW,ALL,hist_gradient_boosting,test,507,0.8695211111443528,0.6652020231577311,0.6352171739536343,16058991.046361484,8330176.15329764
league_specific,ALL,Bundesliga,mean_baseline,train,681,1.2851911936396723,1.0274425975941919,0.0,17373280.25908631,8694151.813208777
league_specific,ALL,Bundesliga,mean_baseline,test,326,1.3128675100267886,1.0532900600668451,-0.0014666923033088697,18098216.028404027,9274341.616231797
league_specific,ALL,Bundesliga,linear_regression,train,681,0.8983625457056774,0.662532542364409,0.5113838783278915,11635541.295323668,5782384.653264201
league_specific,ALL,Bundesliga,linear_regression,test,326,0.9127088542224916,0.7096588440259617,0.5159845381700274,11889790.398948152,6433901.687221873
league_specific,ALL,Bundesliga,ridge_alpha_1,train,681,0.9000238257153932,0.6644811870644515,0.5095750791169773,11622363.712903116,5815303.30685618
league_specific,ALL,Bundesliga,ridge_alpha_1,test,326,0.9064055318101477,0.7045486716207956,0.5226468389870291,11766957.370279113,6374204.583443769
league_specific,ALL,Bundesliga,hist_gradient_boosting,train,681,0.13958192721416524,0.08666487831340894,0.9882043222703529,2278351.284999594,901111.7146960904
league_specific,ALL,Bundesliga,hist_gradient_boosting,test,326,0.9225580039777672,0.7171926020047532,0.5054820386343968,12268235.28387269,6481946.391576356
league_specific,ALL,La Liga,mean_baseline,train,777,1.4441904808816053,1.111763460980672,0.0,17773425.572681185,8687313.276692627
league_specific,ALL,La Liga,mean_baseline,test,389,1.4362843281733293,1.1063089844336367,-1.0945140135110165e-05,23007204.223312654,9626320.613122215
league_specific,ALL,La Liga,linear_regression,train,777,1.0025573342118403,0.7575934278555563,0.5180860692975071,13215700.230903955,6629177.085716903
league_specific,ALL,La Liga,linear_regression,test,389,1.0570488498454573,0.7794179369431274,0.4583558887143043,18160208.79730301,7501884.735356059
league_specific,ALL,La Liga,ridge_alpha_1,train,777,1.0038734353895375,0.7570841183276724,0.516819979524085,13212101.84687763,6614254.866780196
league_specific,ALL,La Liga,ridge_alpha_1,test,389,1.0539066528540448,0.7718404924590261,0.4615712990034647,18150316.677725572,7480321.450245839
league_specific,ALL,La Liga,hist_gradient_boosting,train,777,0.14889316200203923,0.09504618319715183,0.9893708007106545,2452688.129256372,942516.4989336906
league_specific,ALL,La Liga,hist_gradient_boosting,test,389,1.0391415036518308,0.762710240429882,0.47655230474248256,17364069.75723752,7278543.2780014565
league_specific,ALL,Ligue 1,mean_baseline,train,783,1.3312195869391483,1.0374885591174525,0.0,13655925.89400968,6425497.731905687
league_specific,ALL,Ligue 1,mean_baseline,test,341,1.3134821815644482,1.0177716235774499,-0.010842949929945611,14987371.024356281,7003720.251451428
league_specific,ALL,Ligue 1,linear_regression,train,783,0.9386351948696268,0.7219269859407639,0.5028421848123166,9873468.126847621,4853552.917884329
league_specific,ALL,Ligue 1,linear_regression,test,341,0.9592002063350589,0.7334915163156328,0.46091922720119116,11487078.476172963,5480812.778135088
league_specific,ALL,Ligue 1,ridge_alpha_1,train,783,0.9397185500165525,0.7226106965149303,0.5016939020694642,9873152.730738804,4843617.505888051
league_specific,ALL,Ligue 1,ridge_alpha_1,test,341,0.960699856420601,0.7394037601196392,0.45923227073729767,11520740.883322556,5507490.371484853
league_specific,ALL,Ligue 1,hist_gradient_boosting,train,783,0.1504065254159933,0.09227442020443082,0.9872346137740639,3036993.9239590606,830906.2781576194
league_specific,ALL,Ligue 1,hist_gradient_boosting,test,341,0.9229143929445224,0.7066124904674835,0.5009338052353647,12057094.041011678,5484660.699137437
league_specific,ALL,Premier League,mean_baseline,train,788,1.3079222802250308,0.9739426259160249,0.0,22116492.063676253,14307677.143846935
league_specific,ALL,Premier League,mean_baseline,test,393,1.4361116178663882,1.0643712092020903,-0.002959645906250419,27601387.30872223,17392627.031508006
league_specific,ALL,Premier League,linear_regression,train,788,0.8844558341007456,0.6248027475353751,0.5427134518606991,19819229.137331948,10023123.647515997
league_specific,ALL,Premier League,linear_regression,test,393,1.0103094762573408,0.7059515377904866,0.5036181179275829,20505065.428467594,12088939.472969672
league_specific,ALL,Premier League,ridge_alpha_1,train,788,0.8877126615967823,0.6271272850875014,0.5393395232292673,20034815.385258533,10015883.86691467
league_specific,ALL,Premier League,ridge_alpha_1,test,393,1.013431381342793,0.7073337076910031,0.5005456902880838,20213819.226959553,12009225.233307015
league_specific,ALL,Premier League,hist_gradient_boosting,train,788,0.16807424330870807,0.09186068516564613,0.9834865257554491,4174752.2262728373,1773839.53097772
league_specific,ALL,Premier League,hist_gradient_boosting,test,393,0.9830264347174483,0.7056391418712227,0.530065357146782,17079800.213056613,11330000.609721635
league_specific,ALL,Serie A,mean_baseline,train,789,1.3895239121896954,1.0532030578068208,0.0,14900932.365302233,7854552.400342691
league_specific,ALL,Serie A,mean_baseline,test,391,1.3343134928397817,0.9948993168324046,-0.0031219858564197622,15567306.512267139,7929742.546212665
league_specific,ALL,Serie A,linear_regression,train,789,0.9980431726324731,0.733572414139959,0.4840987188604904,10225603.719988653,5568665.647350498
league_specific,ALL,Serie A,linear_regression,test,391,0.9243881734444891,0.6696710868815758,0.5185549179908988,10541994.729432713,5561510.523399072
league_specific,ALL,Serie A,ridge_alpha_1,train,789,0.9984999444659256,0.7350530264163698,0.48362638839422734,10222333.482827745,5574552.47427233
league_specific,ALL,Serie A,ridge_alpha_1,test,391,0.9241010246702807,0.6696627147624516,0.5188539804344262,10564703.241043638,5570350.784121495
league_specific,ALL,Serie A,hist_gradient_boosting,train,789,0.19850185601631065,0.10773565582581777,0.9795921575032772,2583376.3768173805,946437.2243753483
league_specific,ALL,Serie A,hist_gradient_boosting,test,391,0.8596589623725384,0.650017394104434,0.5836194981964284,9581905.472789614,5351568.469611653
