group_column,group_value,model,rows,global_rmse_log,specialized_rmse_log,rmse_log_delta_specialized_minus_global,global_mae_log,specialized_mae_log,mae_log_delta_specialized_minus_global,global_mae_eur,specialized_mae_eur
cleaned_comp,Bundesliga,hist_gradient_boosting,326,0.8686921767431667,0.9225580039777672,0.05386582723460054,0.6888968849959487,0.7171926020047532,0.02829571700880451,6427194.531993253,6481946.391576356
cleaned_comp,Bundesliga,ridge_alpha_1,326,0.9968555466441223,0.9064055318101477,-0.09045001483397463,0.7904017879710423,0.7045486716207956,-0.08585311635024673,6675442.616350538,6374204.583443769
cleaned_comp,La Liga,hist_gradient_boosting,389,0.9823544146555468,1.0391415036518308,0.05678708899628393,0.715591488679397,0.762710240429882,0.047118751750484966,6671301.887854177,7278543.2780014565
cleaned_comp,La Liga,ridge_alpha_1,389,1.0760769528902363,1.0539066528540448,-0.02217030003619147,0.7804893579811599,0.7718404924590261,-0.008648865522133842,7455462.011824504,7480321.450245839
cleaned_comp,Ligue 1,hist_gradient_boosting,341,0.867679530578835,0.9229143929445224,0.05523486236568742,0.6821108782377087,0.7066124904674835,0.024501612229774872,5086252.711171218,5484660.699137437
cleaned_comp,Ligue 1,ridge_alpha_1,341,0.9775926915636362,0.960699856420601,-0.01689283514303519,0.7447230647444254,0.7394037601196392,-0.0053193046247862474,5541457.093834286,5507490.371484853
cleaned_comp,Premier League,hist_gradient_boosting,393,0.8814750112464594,0.9830264347174483,0.10155142347098889,0.6186122162008545,0.7056391418712227,0.08702692567036818,10498859.89274266,11330000.609721635
cleaned_comp,Premier League,ridge_alpha_1,393,1.0019700722770757,1.013431381342793,0.011461309065717407,0.707204953910715,0.7073337076910031,0.00012875378028809337,12587492.533026421,12009225.233307015
cleaned_comp,Serie A,hist_gradient_boosting,391,0.8256302215087655,0.8596589623725384,0.03402874086377283,0.6324553560850869,0.650017394104434,0.017562038019347193,5350644.129692447,5351568.469611653
cleaned_comp,Serie A,ridge_alpha_1,391,0.901445759343449,0.9241010246702807,0.02265526532683171,0.658837321830919,0.6696627147624516,0.010825392931532618,5603450.486274136,5570350.784121495
position_group,DF,hist_gradient_boosting,529,0.9539136808096206,1.02181299575951,0.06789931494988932,0.6994221001406197,0.7498873362493458,0.05046523610872611,6111849.98144706,6338351.108107484
position_group,DF,ridge_alpha_1,529,1.0564842708611217,1.027854267330925,-0.028630003530196735,0.7904823854324425,0.7671991706938368,-0.02328321473860573,6747905.317594307,6496404.260750511
position_group,FW,hist_gradient_boosting,507,0.8022420085309021,0.8695211111443528,0.06727910261345071,0.6270500510820263,0.6652020231577311,0.038151972075704865,8081882.958445774,8330176.15329764
position_group,FW,ridge_alpha_1,507,0.9184774218306421,0.9350128059642236,0.016535384133581577,0.6872530905939317,0.6866611065088698,-0.0005919840850618918,9761228.438243482,9267816.360353677
position_group,MF,hist_gradient_boosting,804,0.8938393155252861,0.9360120732365035,0.04217275771121742,0.6692055490139963,0.7040713410811961,0.03486579206719975,6607319.053177323,6805028.6564831175
position_group,MF,ridge_alpha_1,804,0.9940159177936501,0.9999449520247079,0.005929034231057839,0.7265750610808394,0.7353408729253429,0.008765811844503535,6946834.401670692,6981802.515294222
