model,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_samples
hist_gradient_boosting,rmse_log,0.7591151846419416,0.7316608319487646,0.7867672257964711,500
hist_gradient_boosting,mae_log,0.5975519772126551,0.5774766775129514,0.620274443695712,500
